node,electricity,blue_water
fips48389,1.054,1
fips48395,0.1672,1
fips48421,0.6329,1
fips48437,0.2688,1
fips48445,0.3024,1
fips48451,0.2099,1
fips48463,0.5023,1
fips48481,0.3719,1
fips48483,0.2676,1
fips48487,0.1873,1
fips48489,0.0261,1
fips48493,0.9194,1
fips48501,0.3449,1
fips48507,0.7088,1
fips49001,0.3612,1
fips49003,0.0782,1
fips49005,0.0876,1
fips49007,0.027,1
fips49009,0.0283,1
fips49011,0.048,1
fips49013,0.0257,1
fips49015,0.026,1
fips49017,0.0356,1
fips49019,0.0405,1
fips49021,0.4911,1
fips49023,0.3233,1
fips49025,0.0661,1
fips49027,0.3239,1
fips49029,0.0271,1
fips49031,0.0464,1
fips49033,0.0298,1
fips49035,0.0413,1
fips49037,0.0638,1
fips49039,0.0479,1
fips49041,0.205,1
fips49043,0.0267,1
fips49045,0.1617,1
fips49047,0.0283,1
fips49049,0.0974,1
fips49051,0.0342,1
fips49053,0.0998,1
fips49055,0.0373,1
fips49057,0.0372,1
fips51001,0.0666,1
fips53001,0.1363,1
fips53005,0.0685,1
fips53007,0.0397,1
fips53017,0.0726,1
fips53021,0.0873,1
fips53025,0.0841,1
fips53037,0.055,1
fips53039,0.1934,1
fips53043,0.2112,1
fips53047,0.1311,1
fips53057,0.2084,1
fips53071,0.1317,1
fips53073,0.2296,1
fips53077,0.0759,1
fips55001,0.346,1
fips55033,0.4106,1
fips55053,0.0828,1
fips55057,0.2109,1
fips55067,0.4084,1
fips55081,0.0666,1
fips55085,0.0367,1
fips55097,0.3303,1
fips55137,0.4088,1
fips55141,0.0469,1
fips56001,0.0256,1
fips56003,0.0275,1
fips56007,0.0267,1
fips56009,0.0333,1
fips56011,0.0459,1
fips56013,0.0256,1
fips56015,0.1113,1
fips56017,0.0367,1
fips56019,0.0266,1
fips56021,0.2971,1
fips56023,0.0325,1
fips56025,0.0256,1
fips56027,0.3727,1
fips56029,0.0256,1
fips56031,0.0878,1
fips56033,0.0256,1
fips56035,0.0623,1
fips56037,0.0662,1
fips56039,0.0256,1
fips56041,0.0623,1
fips56043,0.0361,1
fips56045,0.0316,1
