node,STUSPS,well_depth (m),NaN values,well_pressure [bar]
fips28103,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28107,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28119,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28125,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28133,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28135,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28143,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28151,MS,75.81329809764581,Filled with US average,7.437284543379055
fips28163,MS,75.81329809764581,Filled with US average,7.437284543379055
fips29005,MO,0.0,,0.0
fips29007,MO,0.0,,0.0
fips29011,MO,0.7315200000000001,Filled with state average,0.071762112
fips29023,MO,0.7315200000000001,Filled with state average,0.071762112
fips29031,MO,0.7315200000000001,Filled with state average,0.071762112
fips29069,MO,0.0,,0.0
fips29087,MO,0.7315200000000001,Filled with state average,0.071762112
fips29133,MO,0.7315200000000001,Filled with state average,0.071762112
fips29143,MO,0.0,,0.0
fips29155,MO,0.7315200000000001,Filled with state average,0.071762112
fips29181,MO,0.0,,0.0
fips29201,MO,0.0,,0.0
fips29207,MO,0.7315200000000001,Filled with state average,0.071762112
fips30001,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30003,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30005,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30007,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30009,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30011,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30013,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30015,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30017,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30021,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30023,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30027,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30029,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30031,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30035,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30037,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30039,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30041,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30043,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30045,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30047,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30049,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30051,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30053,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30055,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30057,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30059,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30063,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30065,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30067,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30069,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30071,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30073,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30075,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30077,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30079,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30081,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30083,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30085,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30087,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30089,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30091,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30093,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30095,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30097,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30099,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30101,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30103,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30105,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30107,MT,75.81329809764581,Filled with US average,7.437284543379055
fips30111,MT,75.81329809764581,Filled with US average,7.437284543379055
fips31001,NE,58.07348344370861,,5.697008725827814
fips31003,NE,85.85424726426076,,8.422301656623981
fips31005,NE,93.83776,,9.205484256000002
fips31007,NE,40.28563902439025,,3.952021188292684
fips31009,NE,84.47572105263158,,8.28706823526316
fips31011,NE,81.71583930555555,,8.016323835875001
fips31013,NE,96.49035347005744,,9.465703675412634
fips31015,NE,49.74671559633028,,4.8801528
fips31017,NE,73.99464362850973,,7.258874539956806
fips31019,NE,62.18790987432676,,6.100633958671455
fips31021,NE,36.61194076782449,,3.591631389323583
fips31023,NE,61.07630824053452,,5.991585838396436
fips31027,NE,51.96203604395604,,5.097475735912088
fips31029,NE,90.71231822222222,,8.8988784176
fips31031,NE,91.56805207100592,,8.982825908165681
fips31033,NE,69.55891106796116,,6.823729175766991
fips31035,NE,57.67892703009159,,5.658302741651985
fips31037,NE,35.40642006166495,,3.4733698080493323
fips31039,NE,42.40471832061069,,4.159902867251909
fips31041,NE,98.62218858746492,,9.67483670043031
fips31043,NE,34.00946751592357,,3.3363287633121024
fips31045,NE,65.62187692307693,,6.437506126153846
fips31047,NE,64.7618536936937,,6.353137847351352
fips31049,NE,43.16010629370629,,4.234006427412588
fips31051,NE,46.41878222222223,,4.553682536000001
fips31053,NE,26.022035583596217,,2.552761690750789
fips31055,NE,25.025640970350405,,2.455015379191375
fips31057,NE,68.1047186440678,,6.681072898983051
fips31059,NE,69.0687210626186,,6.775641536242884
fips31061,NE,63.45184775757576,,6.224626265018182
fips31063,NE,93.40113479623824,,9.162651323510971
fips31065,NE,32.97772374531836,,3.235114699415732
fips31067,NE,52.81247132127956,,5.180903436617525
