node,sprinkler_percentage,drip_percentage,surface_percentage,well_pressure [bar],gw_percentages,sw_percentages,operating_pressure,pressure_head,conversion_factor_el,conversion_factor_diesel,unit_conversion_factor
fips08121,0.871,0.0,0.129,0.0,0.8989803062968591,0.1010196937031408,2.66589,31.463635155491676,0.1072,0.2858,kWh/m3
fips08123,0.567,0.0,0.433,0.0,0.0787533600145208,0.9212466399854792,1.8785299999999998,8.541697751152677,0.0291,0.0776,kWh/m3
fips08125,0.985,0.0,0.015,0.0,0.9965857376260572,0.0034142623739429,2.96115,37.11559487228745,0.1264,0.3371,kWh/m3
fips10001,0.992,0.008,0.0,7.437284543379055,0.8707416152165306,0.1292583847834694,2.984,99.5335997546681,0.339,0.904,kWh/m3
fips10005,0.991,0.009,0.0,7.437284543379055,0.8708381143231096,0.1291618856768904,2.9819999999999998,99.52609688432352,0.339,0.904,kWh/m3
fips12001,0.814,0.183,0.003,7.437284543379055,0.9988659465515396,0.0011340534484602,2.6262299999999996,109.50154923555048,0.373,0.9946,kWh/m3
fips12009,0.185,0.191,0.624,7.437284543379055,0.935960606932244,0.0640393930677558,1.00184,87.55033771251638,0.2982,0.7952,kWh/m3
fips12011,0.761,0.237,0.002,7.437284543379055,0.3357175353230004,0.6642824646769996,2.52082,41.11223561459723,0.14,0.3734,kWh/m3
fips12015,0.035,0.587,0.378,7.437284543379055,0.6075633036506551,0.3924366963493449,0.84698,58.340623183398215,0.1987,0.5299,kWh/m3
fips12021,0.144,0.38,0.476,7.437284543379055,0.8570129520217088,0.1429870479782913,1.0071599999999998,80.805283856319,0.2752,0.7339,kWh/m3
fips12027,0.024,0.774,0.202,7.437284543379055,0.9949010411890488,0.0050989588109513,0.92882,91.88018471869778,0.3129,0.8345,kWh/m3
fips12035,0.314,0.057,0.629,7.437284543379055,0.9801178495804466,0.0198821504195535,1.2568899999999998,93.89720343867215,0.3198,0.8528,kWh/m3
fips12041,0.916,0.084,0.0,7.437284543379055,0.9993004730277404,0.0006995269722596,2.8320000000000003,111.64221102808513,0.3803,1.014,kWh/m3
fips12043,0.028,0.141,0.832,7.437284543379055,0.0831227324661741,0.9168772675338258,0.56612,13.815136133311512,0.0471,0.1255,kWh/m3
fips12047,0.85,0.15,0.0,7.437284543379055,0.9995392912977084,0.0004607087022915,2.6999999999999997,110.32226511898381,0.3758,1.002,kWh/m3
fips12049,0.09,0.79,0.12,7.437284543379055,0.9919710968457316,0.0080289031542684,1.1092,93.45428793752102,0.3183,0.8488,kWh/m3
fips12051,0.01,0.32,0.67,7.437284543379055,0.3620056203801206,0.6379943796198793,0.6247,36.78372799307724,0.1253,0.3341,kWh/m3
fips12055,0.062,0.896,0.042,7.437284543379055,0.8481827573220436,0.1518172426779564,1.09922,80.84114129964728,0.2753,0.7343,kWh/m3
fips12057,0.148,0.723,0.129,7.437284543379055,0.9549146630701788,0.0450853369298211,1.21989,91.30339360071905,0.311,0.8293,kWh/m3
fips12061,0.058,0.648,0.293,7.437284543379055,0.5571619228924406,0.4428380771075593,0.94213,54.62477797861321,0.1861,0.4961,kWh/m3
fips12063,0.91,0.09,0.0,7.437284543379055,0.9972556048050027,0.0027443951949972,2.82,111.30616208934234,0.3791,1.011,kWh/m3
fips12069,0.264,0.736,0.0,7.437284543379055,0.9247361846358712,0.0752638153641288,1.528,91.54457719489596,0.3118,0.8315,kWh/m3
fips12071,0.383,0.434,0.184,7.437284543379055,0.609282949395187,0.390717050604813,1.6584400000000001,63.52568681627096,0.2164,0.577,kWh/m3
fips12075,0.825,0.143,0.032,7.437284543379055,0.9977996848497132,0.0022003151502868,2.6311199999999997,109.44190499819611,0.3728,0.994,kWh/m3
fips12079,0.966,0.034,0.0,7.437284543379055,0.9993720537570744,0.0006279462429257,2.9319999999999995,112.66843211119482,0.3837,1.0233,kWh/m3
fips12081,0.134,0.636,0.229,7.437284543379055,0.9866063687240384,0.0133936312759616,1.13189,93.21510886040447,0.3175,0.8466,kWh/m3
fips12083,0.812,0.168,0.021,7.437284543379055,0.9701395905036728,0.029860409496327,2.61261,106.41998549356627,0.3625,0.9666,kWh/m3
fips12085,0.34,0.213,0.447,7.437284543379055,0.1041783067892215,0.8958216932107784,1.41627,16.435762705354218,0.056,0.1493,kWh/m3
fips12086,0.851,0.145,0.004,7.437284543379055,0.9279125536567768,0.0720874463432232,2.69964,102.91722262255774,0.3505,0.9348,kWh/m3
fips12093,0.199,0.29,0.512,7.437284543379055,0.8406743242756785,0.1593256757243215,1.09692,80.16805950800827,0.2731,0.7281,kWh/m3
fips12095,0.555,0.445,0.0,7.437284543379055,0.8678758883061559,0.1321241116938441,2.11,91.49702399588918,0.3116,0.831,kWh/m3
fips12097,0.251,0.451,0.298,7.437284543379055,0.8351711214683994,0.1648288785316005,1.32618,81.64110612275677,0.2781,0.7415,kWh/m3
fips12099,0.129,0.024,0.847,7.437284543379055,0.0551044481858611,0.9448955518141388,0.75827,11.63722233119296,0.0396,0.1057,kWh/m3
fips12101,0.38,0.545,0.076,7.437284543379055,0.9842597607007758,0.0157402392992241,1.7161600000000001,98.87224399443517,0.3368,0.898,kWh/m3
fips12105,0.048,0.946,0.006,7.437284543379055,0.9309524871407598,0.0690475128592401,1.09246,87.97947907578039,0.2997,0.7991,kWh/m3
fips12107,0.288,0.107,0.604,7.437284543379055,0.9979782643700694,0.0020217356299306,1.2186399999999997,95.09097402976262,0.3239,0.8637,kWh/m3
fips12109,0.08,0.013,0.907,7.437284543379055,0.99664035493504,0.0033596450649598,0.62487,88.94055622481596,0.3029,0.8078,kWh/m3
fips12111,0.192,0.507,0.301,7.437284543379055,0.3752855545373644,0.6247144454626355,1.20641,40.100445463441375,0.1366,0.3642,kWh/m3
fips12121,0.925,0.075,0.0,7.437284543379055,0.9972943679136138,0.0027056320863861,2.8500000000000005,111.61519812677577,0.3802,1.0138,kWh/m3
fips12127,0.147,0.853,0.0,7.437284543379055,0.9123156853162908,0.0876843146837092,1.294,88.23331133419366,0.3005,0.8014,kWh/m3
fips13007,0.994,0.006,0.0,7.437284543379055,0.9367778109135476,0.0632221890864525,2.988,106.58690349334834,0.363,0.9681,kWh/m3
fips13027,0.954,0.046,0.0,7.437284543379055,0.9666501925533778,0.0333498074466221,2.908,108.97320383156824,0.3712,0.9898,kWh/m3
fips13033,0.988,0.012,0.0,7.437284543379055,0.8722185038271221,0.1277814961728779,2.976,99.61936253162257,0.3393,0.9048,kWh/m3
fips13037,0.991,0.009,0.0,7.437284543379055,0.391262087939244,0.608737912060756,2.9819999999999998,48.58991870821183,0.1655,0.4413,kWh/m3
fips13069,0.986,0.014,0.0,7.437284543379055,0.6388274574578056,0.3611725425421945,2.972,74.81892740878364,0.2548,0.6796,kWh/m3
fips13071,0.948,0.052,0.0,7.437284543379055,0.4194055753800935,0.5805944246199065,2.896,51.211387864241786,0.1744,0.4651,kWh/m3
fips13081,0.957,0.043,0.0,7.437284543379055,0.7928102044458774,0.2071897955541226,2.914,90.68913369127215,0.3089,0.8237,kWh/m3
fips13087,0.969,0.031,0.0,7.437284543379055,0.9857323548370662,0.0142676451629337,2.938,111.28698945004741,0.379,1.0108,kWh/m3
fips13093,0.983,0.017,0.0,7.437284543379055,0.8860232178383797,0.1139767821616202,2.9659999999999997,100.99441026720682,0.344,0.9173,kWh/m3
fips13095,0.875,0.125,0.0,7.437284543379055,0.9993840160337538,0.0006159839662462,2.75,110.81558959674561,0.3774,1.0065,kWh/m3
fips13099,0.988,0.012,0.0,7.437284543379055,0.8844403341193762,0.1155596658806237,2.976,100.91670602269424,0.3437,0.9166,kWh/m3
fips13155,0.972,0.028,0.0,7.437284543379055,0.5748210261572307,0.4251789738427692,2.944,67.86320727885165,0.2311,0.6164,kWh/m3
fips13163,0.979,0.021,0.0,7.437284543379055,0.913690158427714,0.086309841572286,2.9579999999999997,103.85391622162255,0.3537,0.9433,kWh/m3
fips13177,0.98,0.02,0.0,7.437284543379055,0.8798211837168983,0.1201788162831017,2.96,100.28288679303944,0.3416,0.9108,kWh/m3
fips13193,0.975,0.025,0.0,7.437284543379055,0.8072395108180476,0.1927604891819524,2.9499999999999997,92.50791532645437,0.3151,0.8402,kWh/m3
fips13201,0.999,0.001,0.0,7.437284543379055,0.9873182233021582,0.0126817766978418,2.9979999999999998,112.05857895026993,0.3817,1.0178,kWh/m3
fips13205,0.929,0.071,0.0,7.437284543379055,0.9699193112230668,0.030080688776933,2.858,108.82360135738733,0.3707,0.9884,kWh/m3
fips13235,0.992,0.008,0.0,7.437284543379055,0.7780151149390353,0.2219848850609647,2.984,89.6831487444388,0.3055,0.8146,kWh/m3
fips13243,0.995,0.005,0.0,7.437284543379055,0.5233689834532439,0.476631016546756,2.9899999999999998,62.6637850320695,0.2134,0.5692,kWh/m3
fips13251,0.968,0.032,0.0,7.437284543379055,0.8577736884211418,0.1422263115788583,2.936,97.73629504399867,0.3329,0.8877,kWh/m3
fips13253,0.99,0.01,0.0,7.437284543379055,0.9936999604173156,0.0063000395826845,2.9799999999999995,112.55509927025156,0.3834,1.0223,kWh/m3
fips13261,0.991,0.009,0.0,7.437284543379055,0.7491132461372327,0.2508867538627672,2.9819999999999998,86.59759497164299,0.295,0.7865,kWh/m3
fips13273,0.992,0.008,0.0,7.437284543379055,0.6941438860746277,0.3058561139253723,2.984,80.77340418787551,0.2751,0.7336,kWh/m3
fips13277,0.942,0.058,0.0,7.437284543379055,0.5716914605904181,0.4283085394095819,2.8839999999999995,67.1823673371425,0.2288,0.6102,kWh/m3
fips13287,0.973,0.027,0.0,7.437284543379055,0.6802638197650727,0.3197361802349272,2.946,79.03540066449207,0.2692,0.7179,kWh/m3
fips13315,0.955,0.045,0.0,7.437284543379055,0.779214348748922,0.2207856512510779,2.9099999999999997,89.22275827511616,0.3039,0.8104,kWh/m3
fips13321,0.987,0.013,0.0,7.437284543379055,0.8247929373192262,0.1752070626807737,2.9739999999999998,94.56833802038601,0.3221,0.8589,kWh/m3
fips16001,0.35,0.0,0.65,7.437284543379055,0.1847280243079549,0.8152719756920451,1.3164999999999998,23.517526237675085,0.0801,0.2136,kWh/m3
fips16003,0.29,0.0,0.71,7.437284543379055,0.0238623430246444,0.9761376569753556,1.1610999999999998,9.125153939163214,0.0311,0.0829,kWh/m3
fips16005,0.71,0.0,0.29,7.437284543379055,0.2181320734763641,0.7818679265236359,2.2489,28.571534337634883,0.0973,0.2595,kWh/m3
