node,capacity_factor_mean
fips49007,0.224951841
fips49011,0.190089996
fips49013,0.222331984
fips49015,0.224590876
fips49017,0.232019974
fips49019,0.22957952
fips49021,0.224546527
fips49023,0.215290713
fips49027,0.214062583
fips49029,0.209373661
fips49031,0.215826029
fips49033,0.220775826
fips49035,0.196590485
fips49037,0.238232097
fips49039,0.216009464
fips49041,0.21531301
fips49043,0.215702832
fips49045,0.209962829
fips49047,0.220281688
fips49049,0.195317214
fips49051,0.20647833
fips49053,0.223936351
fips49057,0.20094856
fips51001,0.189986332
fips55001,0.171885224
fips55033,0.176834028
fips55053,0.177437312
fips55057,0.173339715
fips55067,0.17722908
fips55081,0.176010728
fips55085,0.17435208
fips55097,0.177338763
fips55137,0.175099411
fips55141,0.174850895
fips56001,0.221525516
fips56003,0.200740909
fips56007,0.23056103
fips56009,0.203592037
fips56013,0.213177085
fips56017,0.206187656
fips56019,0.196821895
fips56023,0.214733329
fips56025,0.211495927
fips56029,0.198255885
fips56031,0.202126591
fips56033,0.190372299
fips56035,0.216419629
fips56037,0.228659388
fips56041,0.228900391
fips56043,0.206449871
fips08125,0.221250686
fips08007,0.221250686
fips30065,0.190338805
fips31105,0.194501714
fips45075,0.18986174
fips41061,0.196360932
fips08115,0.221250686
fips53043,0.213239498
fips12047,0.197010531
fips08051,0.221250686
fips30039,0.190338805
fips30093,0.190338805
fips08017,0.221250686
fips30111,0.190338805
fips08087,0.221250686
fips41001,0.196360932
fips56045,0.210626215
fips49055,0.215079728
fips12105,0.197010531
fips30097,0.190338805
fips30057,0.190338805
fips53071,0.213239498
fips30001,0.190338805
fips31005,0.194501714
fips41047,0.196360932
fips30049,0.190338805
fips41027,0.196360932
fips46121,0.186820684
fips30009,0.190338805
fips30043,0.190338805
fips30023,0.190338805
fips08113,0.221250686
fips30005,0.190338805
fips53007,0.213239498
fips16027,0.207032005
fips45017,0.18986174
fips30013,0.190338805
fips30007,0.190338805
fips41043,0.196360932
fips41065,0.196360932
fips08091,0.221250686
fips16025,0.207032005
fips16067,0.207032005
fips12001,0.197010531
fips41029,0.196360932
fips30003,0.190338805
fips53037,0.213239498
fips41019,0.196360932
fips16057,0.207032005
fips08083,0.221250686
fips08075,0.221250686
fips30101,0.190338805
fips30073,0.190338805
fips49009,0.215079728
fips41035,0.196360932
fips41023,0.196360932
fips53025,0.213239498
fips12079,0.197010531
fips41063,0.196360932
fips56039,0.210626215
fips08095,0.221250686
fips56027,0.210626215
fips56021,0.210626215
fips12101,0.197010531
fips08029,0.221250686
fips12075,0.197010531
fips06049,0.213225828
fips31069,0.194501714
fips16069,0.207032005
fips41071,0.196360932
fips30027,0.190338805
fips30081,0.190338805
fips30069,0.190338805
fips41039,0.196360932
fips16039,0.207032005
fips30045,0.190338805
fips41017,0.196360932
fips41031,0.196360932
fips06105,0.213225828
fips30089,0.190338805
fips30041,0.190338805
fips48109,0.210585245
fips06093,0.213225828
fips53077,0.213239498
fips12041,0.197010531
fips56015,0.210626215
fips41051,0.196360932
fips53057,0.213239498
fips48141,0.210585245
fips41003,0.196360932
fips48389,0.210585245
fips16063,0.207032005
fips41037,0.196360932
fips41053,0.196360932
fips08055,0.221250686
fips56011,0.210626215
fips30099,0.190338805
fips41069,0.196360932
fips48323,0.210585245
fips06025,0.213225828
fips16055,0.207032005
fips16049,0.207032005
fips41049,0.196360932
fips30037,0.190338805
fips41059,0.196360932
fips30051,0.190338805
fips16085,0.207032005
fips30031,0.190338805
fips30071,0.190338805
fips08057,0.221250686
fips08099,0.221250686
fips53001,0.213239498
fips30053,0.190338805
fips30015,0.190338805
fips16075,0.207032005
fips16073,0.207032005
fips41005,0.196360932
fips16003,0.207032005
fips16047,0.207032005
fips53017,0.213239498
fips53005,0.213239498
fips16035,0.207032005
fips30047,0.190338805
fips30035,0.190338805
fips48229,0.210585245
fips16053,0.207032005
fips16031,0.207032005
fips41025,0.196360932
fips16045,0.207032005
fips46007,0.186820684
fips30107,0.190338805
fips16087,0.207032005
fips41013,0.196360932
fips41011,0.196360932
fips30059,0.190338805
fips53073,0.213239498
fips30067,0.190338805
fips53047,0.213239498
fips30075,0.190338805
fips08121,0.221250686
fips49025,0.215079728
fips41045,0.196360932
fips16061,0.207032005
fips30063,0.190338805
fips16021,0.207032005
fips41033,0.196360932
fips04009,0.234666231
fips06015,0.213225828
fips08067,0.221250686
fips53039,0.213239498
fips41067,0.196360932
fips31007,0.194501714
fips08063,0.221250686
fips16059,0.207032005
fips30103,0.190338805
fips41021,0.196360932
fips29181,0.178921154
fips16083,0.207032005
fips12083,0.197010531
fips30095,0.190338805
fips30077,0.190338805
fips16001,0.207032005
fips30029,0.190338805
fips12057,0.197010531
fips53021,0.213239498
fips12069,0.197010531
