node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total consumption (m3),total-check,diff
fips05017,280368.6761,369090.3938,6264613.563,18166770.15,37750987.96,60063584.59,54343111.52,28435073.05,8721013.185,2800585.099,713650.255,255350.7433,218164199.2,218164199.2,-1.37E-16
fips05019,45.09423558,10.53914946,70412.11147,245338.1596,579651.2785,1013151.758,1014434.352,588796.2602,158724.1481,18489.84368,773.3286283,133.8311821,3689960.704,3689960.704,2.52E-16
fips05021,892421.0357,1100333.838,5601889.36,51756346.38,94060282.8,201762978,166057523.8,120467484.4,27489966.04,7748333.75,1983680.9,782707.3673,679703947.6,679703947.6,0
fips05023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05029,2712.162259,3443.04426,72002.29989,307203.7785,676577.8981,969152.3145,751595.4932,268087.9553,54087.43988,22577.50988,6229.035364,2439.020048,3136107.951,3136107.951,1.48E-16
fips05031,464745.933,532867.1998,8588548.733,31435393.58,58295501.65,118578370.6,97352385.85,61092919.19,13266116.82,4115089.066,1145062.588,452117.9326,395319119.2,395319119.2,1.51E-16
fips05033,113.654393,50.73720559,18091.26824,118852.5086,204592.0036,405881.0052,616117.8022,489778.2557,157341.4763,31284.9275,867.7707003,232.0048557,2043203.415,2043203.415,0
fips05035,204740.1166,231026.3927,5861456.108,17552877.83,35592415.92,69080415.64,55978151.11,33865099.01,7139950.914,2426218.452,593733.5582,198970.237,228725055.3,228725055.3,-2.61E-16
fips05037,201715.9706,198448.3294,12048705.54,39095692.18,82154086.13,147978745.9,117298033.5,75340294.98,10831699.06,2197882.442,489292.3725,180590.6231,488015187,488015187,-1.22E-16
fips05039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05041,804502.227,1015912.989,11689130.14,38947843.99,78322463.76,130306131.7,128281292,71977521.23,22714014.13,7726374.954,2169182.963,830009.5642,494784379.6,494784379.6,0
