node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total consumption (m3),total-check,diff
fips01081,358838.88301824743,218900.96071353942,124837.13932204152,5173.862482570807,68532.48730968423,204456.6129905161,355008.61782169045,5965.11706084668,6620.173327391575,19042.939407476228,51049.25028489489,32074.37133000088,1450500.4150689004,1450500.4150689002,-1.605174608949077e-16
fips01083,822839.5942141184,429175.8560401844,2053343.2425353203,104524.11868619872,931362.5097951504,1571854.364046868,1560799.5786584113,63818.52036896128,54620.27130164911,152683.11068018424,439462.78053139895,220831.9025385467,8405315.849396992,8405315.849396992,0.0
fips01085,26812.45506245366,20707.756410968934,72041.05643489498,459283.1375340275,755180.8297494922,854540.2440243524,832623.99753469,1010796.4205841189,552403.9061791102,279516.62141030835,85515.01202364672,42563.4071512962,4991984.84409936,4991984.84409936,0.0
fips01087,16449.3403774623,20823.537078148216,115970.50783977487,872412.3914411792,1400236.537768364,1439610.6497331033,835483.5668229348,463605.8454667314,171144.7172346356,141125.02271915274,54451.41873390416,20680.887955977058,5551994.423171369,5551994.4231713675,-3.3549117799131193e-16
fips01089,33068.7685316597,23551.010279224243,74442.67100919635,348335.2385551658,604724.8331383682,1192746.5637938855,1260713.413998377,1787940.8387370033,788051.3042381668,359462.53913933836,104687.0592018263,41040.67998296813,6618764.92060518,6618764.92060518,0.0
fips01091,0.0,0.0,4128.948472977516,37904.247507654654,52542.63162970895,59195.39085014878,22392.382251260064,0.0,0.0,0.0,0.0,0.0,176163.60071174998,176163.60071174998,0.0
fips01093,0.0,0.0,0.0,2157.651994646119,13843.396655870143,40379.42783702068,34053.7421607457,21132.48325169409,2421.5103252732465,0.0,0.0,0.0,113988.21222525,113988.21222524998,-1.276615795992228e-16
fips01095,4044.3709351219854,3649.816000074147,20548.09930449517,66996.87181961705,107643.44265478368,176239.3743429584,136636.5638033129,141929.260613171,105328.79614815336,49450.1343541218,16029.49072031746,5919.875932557994,834416.096628685,834416.0966286849,-1.3951710938618146e-16
fips01097,98060.62300615724,171893.6697319033,874987.3680177781,1374627.4081782803,1176141.8765476388,978208.4282420701,1044827.5892058811,1159799.491668347,614016.2529800053,1172596.724580145,470499.29037531815,132880.3244857184,9268539.047019243,9268539.047019243,0.0
fips01099,0.0,75.58057451707678,16862.2090230725,94182.78225534252,140801.14035623564,134907.44412683928,38035.99832174308,0.0,0.0,0.0,0.0,0.0,424865.15465775004,424865.15465775016,2.740053415788196e-16
fips01101,25712.486327382114,24836.268403323367,101628.19458238925,550805.687464878,1002866.5988843141,1013689.1290606429,619535.923865164,815406.7525197282,448796.8671248185,226143.49294193523,81259.4478818485,35204.675003506025,4945885.524059931,4945885.524059931,0.0
fips01103,26063.39094823607,12314.79232419268,51552.83846208068,5858.966693119397,24054.31467192236,46866.26368029437,47605.8926579927,3294.6174389038147,2551.865885350295,5836.81658184864,12063.534957648566,14857.896009693963,252921.1903112835,252921.19031128354,1.150707476147573e-16
fips01105,0.0,0.0,10006.320725812175,94018.87703604398,163645.59516492774,196004.4623266596,84589.79025516176,950.8861221448961,0.0,0.0,0.0,0.0,549215.9316307501,549215.9316307501,0.0
fips01107,5718.771294784795,4608.702231344412,32713.913894511887,113674.828164438,192210.0247262829,310924.5926285746,243683.2604661635,314054.8758799568,160956.54399926795,67359.84336293278,18458.588868058516,7966.6629527836885,1472330.6084691,1472330.6084691,0.0
fips01109,3500.144188833817,3382.2752236897322,16485.76192325396,128970.81408100553,210252.456428633,186994.82513531632,144057.89425408727,205220.1719004911,109995.62760289294,42518.223493092584,13094.815907842578,5081.286688511398,1069554.2968276502,1069554.2968276502,0.0
fips01111,5818.78013076772,3196.515270140395,3415.168467703009,2211.618125059552,2689.569087819733,7167.186591489476,7634.928910343112,1565.308736846493,472.5000483805928,1163.4287299646724,1881.407683020692,2583.297896442897,39799.70967797835,39799.709677978346,-1.8281433892492183e-16
fips01113,20515.946743813238,25497.527848919737,144997.02803077755,927825.9869153942,1683549.715468584,1604351.9475471864,865339.6871018471,536246.1847560719,251506.68039255575,190615.15906574903,73063.7369445373,27549.651101557683,6351059.251916993,6351059.251916995,2.932810221647262e-16
fips01115,6132.590765629131,4682.283629822266,26417.1609069788,102417.8426625416,179033.48930607995,331244.9574037105,276651.99805639294,231408.96351258626,140406.7467983597,75830.77669233353,27603.371754489748,13362.902971440619,1415193.0844603651,1415193.0844603654,1.6452217454316598e-16
fips01117,23194.613060989454,14269.204940797808,78392.96394796502,265932.23198470543,390503.48975103785,724734.0182368,547459.9977731326,640072.3599234445,447517.5661567269,193025.1791714829,93498.68964626887,40069.812993814245,3458670.1275871657,3458670.1275871657,0.0
fips01119,0.0,0.0,11524.70464969533,93656.02751119342,148730.31614597404,187357.396281634,75808.032698066,1051.7601009371901,0.0,0.0,0.0,0.0,518128.2373875,518128.2373875,0.0
fips01121,22657.125141167435,14812.659447804206,80867.09264212933,371414.33380663325,565243.4647858915,759763.702024844,542629.4536863939,484787.355544994,361290.8728932678,204913.6898849231,89237.11258859739,44312.74236538314,3541929.60481203,3541929.604812029,-3.944132204167156e-16
fips01123,1920.992854051899,1797.7926426450417,7019.665752350812,58001.349922040434,90159.21132056703,95555.07515102958,59796.44765358021,26969.48856160809,21091.497721801148,15436.463049770728,6294.019844036885,2587.7732806098215,386629.7777540917,386629.7777540917,0.0
fips01125,17375.76394888209,15016.018864686812,119190.66338098129,485885.4717151102,759454.5720404829,950175.6738923211,617184.3984381014,568595.7322054219,472051.3013875324,208388.6206067805,57344.93221524086,24432.58407619237,4295095.732771733,4295095.732771733,0.0
fips01127,0.0,0.0,0.0,1175.3110019074036,6132.628250191956,17779.631242746815,15221.09131274445,10186.31876291971,1317.8431682396542,0.0,0.0,0.0,51812.82373875,51812.82373874999,-1.4042773755914505e-16
fips01129,0.0,65.54950159213901,3620.925243398659,18958.062211947192,26019.74723113854,21542.266914739113,2331.4021314343445,0.0,0.0,0.0,0.0,0.0,72537.95323424999,72537.95323424999,0.0
fips01131,49422.28417117403,31736.8518040039,61159.60350967436,1612.1781433907481,32846.90663247971,51103.77929583791,55891.09612198597,1219.4250788390525,2540.7768383631233,5187.704399876884,17131.70653189708,4971.52356610005,314823.8360936227,314823.83609362284,3.6977924947307696e-16
fips01133,83.56253574983292,74.87839567930837,310.84671644114957,1107.5936379322739,1879.2941090988188,3669.157774807753,3393.346380627481,3800.2041197787516,1823.4726526477323,875.159890123196,294.6374234429993,111.8772331274769,17424.030869456772,17424.030869456776,2.0879088394344277e-16
fips04001,14713.721632632114,20095.785994638954,38556.320747051184,74064.96613717375,217439.09967280133,315648.0460831561,274616.39994698035,187448.43489593064,150881.49169502928,52631.04565105131,25529.823407512013,13835.59624804825,1385460.7321120056,1385460.7321120051,-3.3610572751338976e-16
