node,ground (m3),surface (m3),total (m3),gw_percentages,sw_percentages
fips08085,0.0,778923875.9881951,778923875.9881951,0.0,1.0
fips08087,17685443.83616,127114113.202977,144799557.039137,0.1221374167006595,0.8778625832993404
fips08089,14935909.989757,392691191.71523696,407627101.704994,0.0366411112688143,0.9633588887311856
fips08091,27633.505994,109213825.489755,109241458.995749,0.0002529580458557,0.999747041954144
fips08093,0.0,39076293.2299017,39076293.2299017,0.0,1.0
fips08095,101636035.045932,0.0,101636035.045932,1.0,0.0
fips08097,0.0,135930672.82292202,135930672.82292202,0.0,1.0
fips08099,44614295.427313,90721120.72697148,135335416.15428448,0.3296572079584254,0.6703427920415748
fips08101,11481721.740507,297823151.641335,309304873.381842,0.0371210502277881,0.962878949772212
fips08103,0.0,157153142.42192,157153142.42192,0.0,1.0
fips08105,140474927.72049898,528784488.8262741,669259416.546773,0.2098960795282012,0.7901039204717989
fips08107,27633.505994,198831424.261661,198859057.767655,0.0001389602581054,0.9998610397418946
fips08109,152730387.628838,296963566.118441,449693953.747279,0.3396318459613315,0.6603681540386684
fips08113,0.0,54618528.7654571,54618528.7654571,0.0,1.0
fips08115,53609001.62836,40412135.5965601,94021137.2249201,0.5701803148808442,0.4298196851191558
fips08117,27633.505994,57673542.1779019,57701175.6838959,0.0004789071568555,0.9995210928431444
fips08121,56234184.69779,6319115.1953229895,62553299.89311299,0.8989803062968591,0.1010196937031408
fips08123,33781961.077665,395177020.119279,428958981.196944,0.0787533600145208,0.9212466399854792
fips08125,444167158.594559,1521698.69593256,445688857.2904916,0.9965857376260572,0.0034142623739429
fips10001,32552270.060932,4832264.56112934,37384534.622061335,0.8707416152165306,0.1292583847834694
fips10005,94686208.288441,14043768.8807821,108729977.1692231,0.8708381143231096,0.1291618856768904
fips12001,20462611.188557,23232.041159275697,20485843.229716275,0.9988659465515396,0.0011340534484602
fips12009,41933845.345895,2869157.08317055,44803002.42906555,0.935960606932244,0.0640393930677558
fips12011,15474763.35664,30619830.2479253,46094593.6045653,0.3357175353230004,0.6642824646769996
fips12015,10196763.711786,6586283.668654661,16783047.38044066,0.6075633036506551,0.3924366963493449
fips12021,146485215.274194,24440107.299558,170925322.573752,0.8570129520217088,0.1429870479782913
fips12027,56662504.04069699,290400.514490946,56952904.55518794,0.9949010411890488,0.0050989588109513
