Date,Week,Month,Year,Region,Diesel Price
07/29/2013,30,7,2013,New England,4.061
07/29/2013,30,7,2013,Central Atlantic,3.993
07/29/2013,30,7,2013,Lower Atlantic,3.861
07/29/2013,30,7,2013,Midwest,3.886
07/29/2013,30,7,2013,Gulf Coast,3.845
07/29/2013,30,7,2013,Rocky Mountains,3.913
07/29/2013,30,7,2013,West Coast,4.052
07/29/2013,30,7,2013,California,4.122
07/29/2013,30,7,2013,West Coast exc California,3.970
08/05/2013,31,8,2013,US,3.909
08/05/2013,31,8,2013,East Coast,3.919
08/05/2013,31,8,2013,New England,4.056
08/05/2013,31,8,2013,Central Atlantic,3.983
08/05/2013,31,8,2013,Lower Atlantic,3.845
08/05/2013,31,8,2013,Midwest,3.878
08/05/2013,31,8,2013,Gulf Coast,3.841
08/05/2013,31,8,2013,Rocky Mountains,3.931
08/05/2013,31,8,2013,West Coast,4.054
08/05/2013,31,8,2013,California,4.133
08/05/2013,31,8,2013,West Coast exc California,3.961
08/12/2013,32,8,2013,US,3.896
08/12/2013,32,8,2013,East Coast,3.908
08/12/2013,32,8,2013,New England,4.045
08/12/2013,32,8,2013,Central Atlantic,3.972
08/12/2013,32,8,2013,Lower Atlantic,3.834
08/12/2013,32,8,2013,Midwest,3.862
08/12/2013,32,8,2013,Gulf Coast,3.824
08/12/2013,32,8,2013,Rocky Mountains,3.930
08/12/2013,32,8,2013,West Coast,4.045
08/12/2013,32,8,2013,California,4.128
08/12/2013,32,8,2013,West Coast exc California,3.946
08/19/2013,33,8,2013,US,3.900
08/19/2013,33,8,2013,East Coast,3.912
08/19/2013,33,8,2013,New England,4.036
08/19/2013,33,8,2013,Central Atlantic,3.967
08/19/2013,33,8,2013,Lower Atlantic,3.848
08/19/2013,33,8,2013,Midwest,3.868
08/19/2013,33,8,2013,Gulf Coast,3.822
08/19/2013,33,8,2013,Rocky Mountains,3.920
08/19/2013,33,8,2013,West Coast,4.057
08/19/2013,33,8,2013,California,4.134
08/19/2013,33,8,2013,West Coast exc California,3.965
08/26/2013,34,8,2013,US,3.913
08/26/2013,34,8,2013,East Coast,3.925
08/26/2013,34,8,2013,New England,4.044
08/26/2013,34,8,2013,Central Atlantic,3.980
08/26/2013,34,8,2013,Lower Atlantic,3.862
