node,diesel,blue_water
fips32033,0.6452,1
fips34001,0.5615,1
fips34005,0.1775,1
fips34011,0.5293,1
fips35001,0.0605,1
fips35003,0.0422,1
fips35005,0.2951,1
fips35007,0.0618,1
fips35009,0.6595,1
fips35011,0.1248,1
fips35013,0.1329,1
fips35015,0.2195,1
fips35017,0.0611,1
fips35019,0.0537,1
fips35023,0.4541,1
fips35025,0.3903,1
fips35027,0.1031,1
fips35029,0.1142,1
fips35035,0.3364,1
fips35037,0.0848,1
fips35039,0.0393,1
fips35041,0.3079,1
fips35043,0.0428,1
fips35045,0.0383,1
fips35047,0.0383,1
fips35049,0.2549,1
fips35051,0.1597,1
fips35053,0.1076,1
fips35055,0.0405,1
fips35057,0.4448,1
fips35059,0.3402,1
fips35061,0.0564,1
fips37163,0.1289,1
fips38021,0.4406,1
fips38035,0.4206,1
fips38043,0.4755,1
fips38049,0.195,1
fips38053,0.0493,1
fips38073,0.4507,1
fips38081,0.4792,1
fips38105,0.1598,1
fips39085,0.0531,1
fips40007,0.6709,1
fips40009,0.3613,1
fips40015,0.5987,1
fips40025,0.7158,1
fips40039,0.5577,1
fips40045,0.5727,1
fips40051,0.2221,1
fips40057,0.3276,1
fips40059,0.2536,1
fips40065,0.0758,1
fips40073,0.2996,1
fips40093,0.3202,1
fips40101,0.0882,1
fips40139,0.8076,1
fips40141,0.2483,1
fips40149,0.5105,1
fips41001,0.1117,1
fips41003,0.0928,1
fips41005,0.1853,1
fips41011,0.0726,1
fips41013,0.113,1
fips41017,0.0685,1
fips41019,0.0535,1
fips41021,1.5363,1
fips41023,0.0525,1
fips41025,0.4262,1
fips41027,0.042,1
fips41029,0.042,1
fips41031,0.0601,1
fips41033,0.0758,1
fips41035,0.2081,1
fips41037,0.2014,1
fips41039,0.1339,1
fips41043,0.176,1
fips41045,0.0614,1
fips41047,0.1562,1
fips41049,0.2603,1
fips41051,0.1505,1
fips41053,0.0847,1
fips41059,0.3341,1
fips41061,0.2807,1
fips41063,0.0944,1
fips41065,0.4004,1
fips41067,0.0764,1
fips41069,0.0617,1
fips41071,0.0921,1
fips45017,0.5967,1
fips45075,0.464,1
fips45085,0.5178,1
fips46007,0.6898,1
fips46027,0.3915,1
fips46065,0.0841,1
fips46115,0.288,1
fips46119,0.0588,1
fips46121,0.5797,1
fips46125,0.3476,1
fips46135,0.4155,1
fips48003,0.5754,1
fips48013,1.5417,1
fips48017,0.5019,1
fips48039,0.0814,1
fips48041,0.3006,1
fips48045,0.2272,1
fips48051,0.2478,1
fips48061,0.0389,1
fips48065,1.0587,1
fips48069,0.7672,1
fips48071,0.0386,1
fips48075,0.426,1
fips48079,0.5181,1
fips48087,0.3478,1
fips48089,0.2528,1
fips48093,0.3653,1
fips48107,0.5594,1
fips48109,1.964,1
fips48111,0.9216,1
fips48115,0.4408,1
fips48117,0.6989,1
fips48129,0.491,1
fips48141,0.1499,1
fips48147,0.0922,1
fips48153,0.6563,1
fips48157,0.3207,1
fips48163,1.9693,1
fips48165,0.5224,1
fips48173,0.5199,1
fips48179,0.8424,1
fips48189,0.5797,1
fips48191,0.3546,1
fips48195,0.969,1
fips48197,0.3787,1
fips48205,1.0675,1
fips48207,0.4113,1
fips48215,0.0385,1
fips48219,0.4583,1
fips48229,0.6504,1
fips48233,0.8434,1
fips48239,0.7385,1
fips48245,0.0394,1
fips48275,0.3289,1
fips48279,0.5605,1
fips48291,0.0618,1
fips48295,0.7374,1
fips48303,0.4479,1
fips48305,0.3539,1
fips48317,0.4053,1
fips48321,0.4675,1
fips48323,0.039,1
fips48325,0.3384,1
fips48335,0.8337,1
fips48341,1.0774,1
fips48353,0.5812,1
fips48357,0.9961,1
fips48369,0.8391,1
fips48371,1.5532,1
fips48383,0.5828,1
fips48389,1.5809,1
fips48395,0.2508,1
fips48421,0.9493,1
fips48437,0.4033,1
fips48445,0.4536,1
fips48451,0.3149,1
fips48463,0.7534,1
fips48481,0.5579,1
fips48483,0.4013,1
fips48487,0.2809,1
fips48489,0.0391,1
fips48493,1.3791,1
fips48501,0.5174,1
fips48507,1.0632,1
fips49001,0.5418,1
fips49003,0.1174,1
fips49005,0.1315,1
fips49007,0.0405,1
fips49009,0.0425,1
fips49011,0.072,1
fips49013,0.0386,1
fips49015,0.039,1
fips49017,0.0534,1
fips49019,0.0607,1
fips49021,0.7367,1
fips49023,0.485,1
fips49025,0.0992,1
fips49027,0.4858,1
fips49029,0.0406,1
fips49031,0.0696,1
fips49033,0.0447,1
fips49035,0.062,1
fips49037,0.0957,1
fips49039,0.0718,1
fips49041,0.3074,1
fips49043,0.0401,1
fips49045,0.2426,1
fips49047,0.0425,1
fips49049,0.1461,1
fips49051,0.0513,1
fips49053,0.1496,1
fips49055,0.056,1
fips49057,0.0558,1
fips51001,0.0999,1
fips53001,0.2045,1
fips53005,0.1027,1
fips53007,0.0596,1
fips53017,0.1089,1
fips53021,0.1309,1
fips53025,0.1261,1
fips53037,0.0825,1
fips53039,0.2902,1
fips53043,0.3168,1
fips53047,0.1967,1
fips53057,0.3125,1
fips53071,0.1975,1
fips53073,0.3445,1
fips53077,0.1139,1
fips55001,0.519,1
fips55033,0.616,1
fips55053,0.1242,1
fips55057,0.3164,1
fips55067,0.6126,1
fips55081,0.1,1
fips55085,0.055,1
fips55097,0.4955,1
fips55137,0.6132,1
fips55141,0.0704,1
fips56001,0.0383,1
fips56003,0.0412,1
fips56007,0.0401,1
fips56009,0.0499,1
fips56011,0.0689,1
fips56013,0.0383,1
fips56015,0.167,1
fips56017,0.0551,1
fips56019,0.04,1
fips56021,0.4456,1
fips56023,0.0487,1
fips56025,0.0383,1
fips56027,0.5591,1
fips56029,0.0383,1
fips56031,0.1316,1
fips56033,0.0383,1
fips56035,0.0935,1
fips56037,0.0994,1
fips56039,0.0383,1
fips56041,0.0935,1
fips56043,0.0542,1
fips56045,0.0474,1
